FID,nombre,direccion,comuna,tipo
20,GALERIA CONTRALUZ,6 PSJE REPUBLICA,SANTIAGO,GALERIA DE ARTE
21,SALA MUNICIPAL DE EXPOSICIONES RENCA,4155 JOSE MANUEL BALMACEDA,RENCA,GALERIA DE ARTE
22,CINEMARK PLAZA OESTE (10 SALAS),1510 AMERICO VESPUCIO,CERRILLOS,CINE
23,CINE HOYTS ESTACION CENTRAL (8 SALAS),155 EXPOSICION,ESTACION CENTRAL,CINE
24,CINEMARK PLAZA NORTE (6 SALAS),1737 AMERICO VESPUCIO,HUECHURABA,CINE
25,CINEMARK PLAZA VESPUCIO (11 SALAS),7110 VICUNA MACKENNA ORIENTE,LA FLORIDA,CINE
26,MOVIELAND FLORIDA CENTER (10 SALAS),6100 VICUNA MACKENNA ORIENTE,LA FLORIDA,CINE
27,CINE HOYTS LA REINA (16 SALAS),655 OSSA,LA REINA,CINE
28,CINEMARK ALTO LAS CONDES (12 SALAS),9001 PDTE KENNEDY,LAS CONDES,CINE
29,SHOWCASE CINEMAS PARQUE ARAUCO (14 SALAS),5413 PDTE KENNEDY,LAS CONDES,CINE
30,MOVIELAND LA DEHESA (8 SALAS),1445 LA DEHESA,LO BARNECHEA,CINE
31,SHOWCASE CINEMAS MAIPU (10 SALAS),399 AMERICO VESPUCIO,MAIPU,CINE
32,CINE ARTE TOBALABA,2563 PROVIDENCIA,PROVIDENCIA,CINE
33,CINEMARK GRAN AVENIDA (8 SALAS),6150 GRAN AVDA JOSE MIGUEL CARRERA,SAN MIGUEL,CINE
34,CINE ARTE ALAMEDA,139 LIBER BERNARDO OHIGGINS,SANTIAGO,CINE
35,CINE ARTE NORMANDIE,1181 TARAPACA,SANTIAGO,CINE
36,CINE EL BIOGRAFO,181 JOSE VICTORINO LASTARRIA,SANTIAGO,CINE
37,CINE GRAN PALACE (4 SALAS),1176 HUERFANOS,SANTIAGO,CINE
38,CINE HOYTS HUERFANOS (4 SALAS),735 HUERFANOS,SANTIAGO,CINE
39,CINE HOYTS SAN AGUSTIN (8 SALAS),144 SAN ANTONIO,SANTIAGO,CINE
40,MULTICINE VITACURA (2 SALAS),6780 VITACURA,VITACURA,CINE
41,CINE HOYTS PUENTE ALTO (8 SALAS),VICUNA MACKENNA 37 1/2,PUENTE ALTO,CINE
42,CINEMARK PLAZA TOBALABA (10 SALAS),3296 CAMILO HENRIQUEZ,PUENTE ALTO,CINE
43,PEDRO DE VALDIVIA,PLAZA DE PEDRO DE VALDIVIA,PROVIDENCIA,CINE
44,CENTRO DE DESARROLLO BIBLIOTECARIO,507 CONCHA Y TORO,PUENTE ALTO,BIBLIOTECA
